candidate,is_v2,family,start,end,years,net_return,cagr,sharpe,sortino,max_drawdown,annual_vol,net_profit_jpy,recovery_factor,n_trades,profit_factor,win_rate,avg_win_jpy,avg_loss_jpy,payoff_ratio,expectancy_jpy,expectancy_r,max_consecutive_losses,trades_per_year,avg_bars_held,total_cost_jpy,swap_jpy,gross_mid_pnl_jpy,cost_ratio,cost_per_trade_jpy,turnover_annual,psr_vs_zero,t_stat,positive_year_ratio,max_single_year_share,ret_A,ret_B,positive_pairs,max_regime_share,stress_pf,stress_net_return,dsr,n_trials_v2,final_params,param_changes,diag_top1_share,diag_top5_share,diag_pnl_ex_top5,diag_pf_ex_top5,diag_swap_share,diag_ret_2024_2026,gate_fail,status
v2_d1_donchian,True,trend_mid,2014-01-02,2026-09-25,12.73,-0.100444,-0.008282,-0.258484,-0.366741,-0.168086,0.029083,-100444.251412,-0.552788,164,0.737981,0.310976,5798.160466,-3545.985911,1.635134,-640.184294,-0.11892,12,12.884706,952.22561,6919.702285,-32535.297006,-65535.224884,,42.193307,5.226314,0.179141,-0.921859,0.3076923076923077,0.41383406084725416,-0.02501510760776071,-0.07736442317452241,0,1.0,0.645164,-0.136642,0.0079,80,"{""n"": 100, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",3,,,-237498.1990345182,0.4072864284825672,,-0.06708936319447001,profit_factor;sharpe;positive_years;single_year_dependence;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe,REJECTED
v2_d1_tsmom,True,trend_mid,2014-01-02,2026-09-25,12.73,-0.117666,-0.009787,-0.059671,-0.08323,-0.27829,0.080451,-117665.913731,-0.36389,199,0.937681,0.306533,14147.552503,-6669.251982,2.12131,-288.221462,0.022466,18,15.634491,1311.055276,23569.449143,-125929.968507,92143.346774,0.255791,118.439443,14.80853,0.415735,-0.212812,0.46153846153846156,0.4290814254437206,-0.03141916807636436,-0.08904444813639856,3,0.9725765665952495,0.87374,-0.199196,0.0403,80,"{""lookback"": 252, ""sizing"": ""vol_target""}",4,,,-553584.9176901323,0.3985105193850537,,-0.10956103141849871,profit_factor;sharpe;positive_years;single_year_dependence;max_drawdown;subperiod_not_positive;fragile_to_cost_2x;single_regime_dependence;deflated_sharpe,REJECTED
v2_h4_ema,True,trend_mid,2014-01-02,2026-09-25,12.73,0.04657,0.003583,0.103125,0.160665,-0.134322,0.044121,46569.508466,0.297883,896,1.028063,0.34375,5448.035628,-2775.835242,1.962665,51.12037,0.007525,16,70.394493,78.765625,73336.609173,-58275.548614,177416.009185,0.41336,81.848894,81.515321,0.643885,0.367787,0.46153846153846156,0.43536657970680676,0.0769946945444655,-0.028250079812094486,2,0.7230219733620133,0.915265,-0.122182,0.1376,80,"{""adx_min"": 20, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",1,0.7843819666852515,3.243905705795298,-102779.52350056544,0.9370297251906637,-1.2722849025783425,-0.018761962949728095,profit_factor;sharpe;positive_years;single_year_dependence;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe,REJECTED
v2_trend_carry,True,trend_carry,2014-01-02,2026-09-25,12.73,0.19754,0.014264,0.441402,0.618053,-0.078007,0.034028,197540.020004,2.032656,157,2.080637,0.382166,7099.481304,-2110.618967,3.363696,1409.164576,0.320137,8,12.334749,1458.509554,5099.902258,27189.187422,199149.553303,0.025608,32.483454,3.327907,0.941129,1.574219,0.7692307692307693,0.25868767338287874,0.09397039222279568,0.09467315433533274,5,0.5061302332275834,1.785648,0.139289,0.5355,80,"{""mode"": ""composite"", ""sizing"": ""risk_stop""}",1,0.5545894805870365,1.1731838853319854,-38315.00163200882,0.8128511005298495,0.12289518246481469,0.00932793041930835,,CHALLENGER
v2_xpair_strength,True,cross_pair,2014-01-02,2026-09-25,12.73,-0.03907,-0.003126,-0.174045,-0.243516,-0.090851,0.016283,-39069.692588,-0.406999,330,0.878682,0.427273,1924.55239,-1634.01287,1.177807,-113.534986,-0.036828,13,25.926543,326.666667,10013.253023,-16533.142652,-10920.149663,,30.343191,7.35302,0.267531,-0.620716,0.38461538461538464,0.497427134365247,0.007980481932630568,-0.04667766426397857,1,1.0,0.7884,-0.06951,0.0174,80,"{""lookback"": 60, ""sizing"": ""risk_stop"", ""top_k"": 3}",2,,,-99049.5399031179,0.6792732484326175,,-0.02747935464368534,profit_factor;sharpe;positive_years;single_year_dependence;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe,REJECTED
v2_session_breakout,True,session,2014-01-02,2026-09-25,12.73,-0.321155,-0.029975,-0.236124,-0.36281,-0.465799,0.102374,-321154.716677,-0.628759,2624,0.948532,0.337271,7109.526706,-3814.452553,1.863839,-130.107414,-0.025705,22,206.155302,39.628049,346426.718895,-94891.803357,99916.667167,3.467156,132.022378,607.495684,0.201827,-0.842114,0.38461538461538464,0.3680943552816672,-0.37869561654719064,0.09261305956076193,2,1.0,0.857374,-0.60955,0.0103,80,"{""session"": ""tokyo_london""}",4,,,-566737.3260101089,0.9145622077386562,,0.030654466034007788,profit_factor;sharpe;positive_years;max_drawdown;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe,REJECTED
v2_ml_d1_logit,True,ml,2014-01-02,2026-09-25,12.73,-0.059598,-0.004816,-0.646369,-0.788973,-0.064588,0.007451,-59598.318637,-0.919722,155,0.596163,0.445161,1273.20305,-1713.496783,0.743044,-383.933632,-0.094617,6,12.177619,116.929032,4577.353943,-5149.730211,-49782.628756,,29.531316,5.609438,0.007206,-2.305212,0.23076923076923078,0.450714253234819,-0.04602457194129417,-0.014228612495490012,0,1.0,0.535617,-0.071132,0.0,80,"{""th"": 0.55}",1,,,-80084.60804110114,0.45654034385405373,,-0.011331137274452008,profit_factor;sharpe;positive_years;single_year_dependence;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe;ml_not_better_than_simple,REJECTED
trend_ema_adx,False,A_trend,2014-01-02,2026-09-25,12.73,-0.502971,-0.053444,-0.429964,-0.666789,-0.553387,0.112417,-502970.978526,-0.851921,3673,0.90807,0.312823,4527.579754,-2269.746858,1.994751,-143.38468,-0.037186,28,288.570284,30.06153,423548.05816,-121764.279595,18660.406705,22.697686,115.313928,641.867313,0.064948,-1.533425,0.15384615384615385,0.5507885520293857,-0.32303856790698404,-0.26579418278383693,1,1.0,0.807028,-0.76597,0.0015,80,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",4,,,-793582.6811294705,0.8614758776427465,,-0.22102368524499838,reference_v1,REFERENCE_V1
trend_donchian,False,A_trend,2014-01-02,2026-09-25,12.73,-0.719783,-0.095117,-0.616102,-0.896237,-0.760018,0.14221,-719782.61021,-0.863575,2393,0.818739,0.244045,7404.826077,-2919.735778,2.536129,-400.076721,-0.114944,27,188.006722,78.04555,221867.28875,-160140.605349,-575375.698645,,92.715123,431.476639,0.014878,-2.197267,0.23076923076923078,0.6445222573247994,-0.5618891422969878,-0.3603961534777368,1,1.0,0.739754,-0.84704,0.0001,80,"{""n"": 240, ""sl_atr"": 3.0}",3,,,-1306326.4741180902,0.7526740932837794,,-0.20098514164050896,reference_v1,REFERENCE_V1
trend_tsmom,False,A_trend,2014-01-02,2026-09-25,12.73,-0.187488,-0.01618,-0.19216,-0.277029,-0.279606,0.066677,-187488.027167,-0.616598,973,0.927594,0.341213,7145.10139,-3989.611348,1.790927,-190.30546,-0.033198,20,76.44402,142.002055,61749.077088,-76335.489889,-47082.645789,,63.462566,90.388314,0.246961,-0.68532,0.5384615384615384,0.33739917195884267,-0.1614293028214433,-0.031075166867608695,2,1.0,0.871984,-0.296509,0.0138,80,"{""lookback"": 480, ""z_min"": 0.5}",3,,,-335710.4563451966,0.8687267466972591,,-0.10391643146445972,reference_v1,REFERENCE_V1
mr_rsi_bb,False,B_meanrev,2014-01-02,2026-09-25,12.73,-0.476961,-0.049644,-0.763597,-1.03536,-0.490471,0.06365,-476961.405319,-0.961476,2654,0.878491,0.477016,2117.886211,-2198.920288,0.963148,-139.735274,-0.062335,9,208.512261,9.220422,246978.693253,-38574.015502,-85304.707142,,93.05904,452.041807,0.003299,-2.723296,0.07692307692307693,1.0,-0.2644502552929302,-0.28891472202355084,0,1.0,0.789689,-0.675812,0.0,80,"{""bb_k"": 2.5, ""rsi_lo"": 30}",1,,,-431547.2053414895,0.8586065289084803,,-0.1538892496732055,reference_v1,REFERENCE_V1
mr_zscore,False,B_meanrev,2014-01-02,2026-09-25,12.73,-0.364817,-0.035028,-0.373303,-0.512513,-0.504671,0.086234,-364817.096484,-0.704754,3241,0.934057,0.428571,2418.644046,-1942.046652,1.24541,-73.17921,-0.02738,17,254.630082,21.67294,190222.86617,-56892.169449,9941.216393,19.134768,58.692646,344.818962,0.091784,-1.33135,0.3076923076923077,0.5887268510754715,-0.42897414582442306,0.112354018424206,2,1.0,0.846042,-0.649826,0.0028,80,"{""n"": 72, ""z"": 2.0}",2,,,-287500.94719833974,0.9200646944928244,,0.009094370690482467,reference_v1,REFERENCE_V1
regime_switch,False,C_regime,2014-01-02,2026-09-25,12.73,-0.68161,-0.085992,-0.873546,-1.25469,-0.716073,0.097329,-681610.004826,-0.865598,3755,0.877021,0.348336,2807.616578,-1711.202857,1.640727,-137.137392,-0.079996,15,295.012637,21.650599,280670.911188,-61949.581748,-172330.414836,,74.745915,560.130471,0.001103,-3.115416,0.23076923076923078,0.6275680183744222,-0.5538057695983152,-0.2864318418293923,0,1.0,0.801041,-0.827468,0.0,80,"{""adx_trend"": 30, ""brk"": 48}",2,,,-648718.6673147622,0.8450752053464676,,-0.28165712657731923,reference_v1,REFERENCE_V1
