candidate,is_v2,params,full_n_trades,full_net_return,full_sharpe,full_profit_factor,full_max_drawdown,full_cost_ratio,A_n_trades,A_net_return,A_sharpe,A_profit_factor,A_max_drawdown,A_cost_ratio,B_n_trades,B_net_return,B_sharpe,B_profit_factor,B_max_drawdown,B_cost_ratio
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""none"", ""sizing"": ""risk_stop""}",445,-0.10103,-0.20675,0.856895,-0.198729,,207,-0.049041,-0.20153,0.873279,-0.122784,,114,-0.104879,-0.918846,0.481454,-0.109171,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""none"", ""sizing"": ""vol_target""}",448,-0.342255,-0.223942,0.849487,-0.503509,,205,-0.229622,-0.32026,0.791522,-0.368613,,119,-0.274951,-0.778528,0.555485,-0.287223,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""none"", ""sizing"": ""fixed_notional""}",438,-0.613189,-0.296425,0.801179,-0.680615,,202,-0.416877,-0.443716,0.716628,-0.537984,,116,-0.387388,-0.751029,0.53554,-0.400967,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""trend_only"", ""sizing"": ""risk_stop""}",415,-0.109025,-0.230422,0.834373,-0.174046,,196,-0.052471,-0.218579,0.858123,-0.133488,,96,-0.064014,-0.541462,0.616777,-0.068829,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""trend_only"", ""sizing"": ""vol_target""}",425,-0.40226,-0.300391,0.796892,-0.46758,,195,-0.260535,-0.402725,0.741196,-0.364599,,106,-0.217798,-0.60866,0.596137,-0.232099,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""trend_only"", ""sizing"": ""fixed_notional""}",402,-0.601964,-0.298972,0.776593,-0.673068,,190,-0.34841,-0.347874,0.760265,-0.532385,,95,-0.3042,-0.535209,0.583015,-0.31839,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",413,-0.072381,-0.148362,0.888327,-0.177502,,198,-0.043538,-0.183737,0.886184,-0.122244,2.746678,100,-0.090926,-0.860883,0.475542,-0.099186,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""no_high_vol"", ""sizing"": ""vol_target""}",415,-0.314219,-0.213545,0.850778,-0.479738,,195,-0.227494,-0.338054,0.770344,-0.364558,,105,-0.261404,-0.819438,0.508788,-0.270318,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""no_high_vol"", ""sizing"": ""fixed_notional""}",403,-0.521803,-0.237585,0.826517,-0.636513,,192,-0.383261,-0.411657,0.71418,-0.512892,,100,-0.341606,-0.702824,0.532352,-0.361691,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""none"", ""sizing"": ""risk_stop""}",229,0.002039,0.020414,1.003733,-0.186031,0.14159,98,0.054204,0.200137,1.301698,-0.124551,0.035368,66,-0.077646,-0.589761,0.536245,-0.105077,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""none"", ""sizing"": ""vol_target""}",230,-0.214797,-0.090645,0.876129,-0.433766,,98,-0.085836,-0.065285,0.954827,-0.319501,0.159198,67,-0.190981,-0.408912,0.632286,-0.305433,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""none"", ""sizing"": ""fixed_notional""}",217,-0.524992,-0.218647,0.737025,-0.57032,,97,-0.268136,-0.220399,0.818628,-0.443489,,57,-0.245733,-0.377374,0.639133,-0.370042,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""trend_only"", ""sizing"": ""risk_stop""}",218,0.046832,0.099092,1.090782,-0.14388,0.078086,95,0.057131,0.213253,1.331854,-0.114211,0.033538,59,-0.03372,-0.251971,0.78075,-0.096688,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""trend_only"", ""sizing"": ""vol_target""}",217,-0.072007,0.00458,0.956523,-0.313631,0.230011,94,-0.056646,-0.030163,0.989052,-0.268918,0.118752,59,-0.044517,-0.060709,0.918589,-0.264371,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""trend_only"", ""sizing"": ""fixed_notional""}",211,-0.441845,-0.162907,0.777306,-0.504172,,95,-0.225744,-0.177603,0.854164,-0.400619,,54,-0.179891,-0.264634,0.721641,-0.364594,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",202,0.037158,0.085212,1.079692,-0.165225,0.094096,87,0.072078,0.269888,1.458419,-0.11153,0.027983,60,-0.075059,-0.673243,0.506074,-0.109798,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""vol_target""}",203,-0.120172,-0.037652,0.923818,-0.386704,0.616837,86,-0.016622,0.02163,1.055515,-0.272302,0.082968,61,-0.203355,-0.56242,0.57249,-0.312773,
